player,espn_names,espn_id
Christian McCaffrey,Christian McCaffrey,3117251
Saquon Barkley,Saquon Barkley,3929630
Ezekiel Elliott,Ezekiel Elliott,3051392
Derrick Henry,Derrick Henry,3043078
Dalvin Cook,Dalvin Cook,3116593
Alvin Kamara,Alvin Kamara,3054850
Josh Jacobs,Josh Jacobs,4047365
Aaron Jones,Aaron Jones,3042519
Miles Sanders,Miles Sanders,4045163
Joe Mixon,Joe Mixon,3116385
Nick Chubb,Nick Chubb,3128720
Kenyan Drake,Kenyan Drake,2979843
Lamar Jackson,Lamar Jackson,3916387
Austin Ekeler,Austin Ekeler,3068267
Patrick Mahomes,Patrick Mahomes,3139477
Michael Thomas,Michael Thomas,2976316
Todd Gurley,Todd Gurley II,2977644
Chris Carson,Chris Carson,3919596
Leonard Fournette,Leonard Fournette,3115364
LeVeon Bell,Le'Veon Bell,15825
Davante Adams,Davante Adams,16800
David Johnson,David Johnson,2508176
Tyreek Hill,Tyreek Hill,3116406
Travis Kelce,Travis Kelce,15847
James Conner,James Conner,3045147
Melvin Gordon,Melvin Gordon,2576434
Devin Singletary,Devin Singletary,4040761
Julio Jones,Julio Jones,13982
David Montgomery,David Montgomery,4035538
George Kittle,George Kittle,3040151
Russell Wilson,Russell Wilson,14881
Raheem Mostert,Raheem Mostert,2576414
Dak Prescott,Dak Prescott,2577417
Kenny Golladay,Kenny Golladay,2974858
Mark Ingram,Mark Ingram II,13981
DeAndre Hopkins,DeAndre Hopkins,15795
Mike Evans,Mike Evans,16737
Chris Godwin,Chris Godwin,3116165
Deshaun Watson,Deshaun Watson,3122840
A.J. Brown,A.J. Brown,4047646
Odell Beckham,Odell Beckham Jr.,16733
Amari Cooper,Amari Cooper,2976499
Adam Thielen,Adam Thielen,16460
D.J. Moore,DJ Moore,3915416
Kyler Murray,Kyler Murray,3917315
Courtland Sutton,Courtland Sutton,3128429
Kareem Hunt,Kareem Hunt,3059915
Ronald Jones,Ronald Jones II,3912550
Robert Woods,Robert Woods,15880
JuJu Smith-Schuster,JuJu Smith-Schuster,3120348
Cooper Kupp,Cooper Kupp,2977187
Mark Andrews,Mark Andrews,3116365
DeVante Parker,DeVante Parker,2576623
Allen Robinson,Allen Robinson II,16799
Zach Ertz,Zach Ertz,15835
Calvin Ridley,Calvin Ridley,3925357
Tyler Lockett,Tyler Lockett,2577327
Josh Allen,Josh Allen,3918298
Harrison Butker,Harrison Butker,3055899
Terry McLaurin,Terry McLaurin,3121422
Wil Lutz,Wil Lutz,2985659
Justin Tucker,Justin Tucker,15683
Keenan Allen,Keenan Allen,15818
Drew Brees,Drew Brees,2580
T.Y. Hilton,T.Y. Hilton,14924
D.J. Chark,DJ Chark Jr.,3115394
DK Metcalf,DK Metcalf,4047650
Jordan Howard,Jordan Howard,3060022
Stefon Diggs,Stefon Diggs,2976212
Tom Brady,Tom Brady,2330
A.J. Green,A.J. Green,13983
Greg Zuerlein,Greg Zuerlein,14993
Darren Waller,Darren Waller,2576925
Aaron Rodgers,Aaron Rodgers,8439
Sony Michel,Sony Michel,3128721
Carson Wentz,Carson Wentz,2573079
Jarvis Landry,Jarvis Landry,16790
Michael Gallup,Michael Gallup,4036348
Jared Cook,Jared Cook,12537
Tevin Coleman,Tevin Coleman,2979477
Marlon Mack,Marlon Mack,3139605
Robbie Gould,Robbie Gould,9354
Matt Ryan,Matt Ryan,11237
Marquise Brown,Marquise Brown,4241372
Evan Engram,Evan Engram,3051876
Rob Gronkowski,Rob Gronkowski,13229
Latavius Murray,Latavius Murray,15920
Tyler Boyd,Tyler Boyd,3045144
Matt Breida,Matt Breida,3049916
Julian Edelman,Julian Edelman,12649
Brandin Cooks,Brandin Cooks,16731
Younghoe Koo,Younghoe Koo,3049899
Marvin Jones,Marvin Jones Jr.,15072
James White,James White,16913
Phillip Lindsay,Phillip Lindsay,3052117
Kerryon Johnson,Kerryon Johnson,3916925
Will Fuller,Will Fuller V,3052876
Hunter Henry,Hunter Henry,3046439
Cam Newton,Cam Newton,13994
Matt Gay,Matt Gay,4249087
Tyler Higbee,Tyler Higbee,2573401
Matt Prater,Matt Prater,11122
Dan Bailey,Dan Bailey,14322
Zane Gonzalez,Zane Gonzalez,3043234
Brandon McManus,Brandon McManus,16339
Hayden Hurst,Hayden Hurst,3924365
Noah Fant,Noah Fant,4036131
Jason Myers,Jason Myers,2473037
John Brown,John Brown,16804
Mason Crosby,Mason Crosby,10636
Tarik Cohen,Tarik Cohen,3066158
Jake Elliott,Jake Elliott,3050478
Chris Boswell,Chris Boswell,17372
Austin Hooper,Austin Hooper,3043275
Mike Williams,Mike Williams,3045138
Darius Slayton,Darius Slayton,3916945
Kaimi Fairbairn,Ka'imi Fairbairn,2971573
Christian Kirk,Christian Kirk,3895856
Josh Lambo,Josh Lambo,2998120
Adrian Peterson,Adrian Peterson,10452
Austin Seibert,Austin Seibert,3821683
Devonta Freeman,Devonta Freeman,16944
Deebo Samuel,Deebo Samuel,3126486
Mike Gesicki,Mike Gesicki,3116164
Mike Badgley,Michael Badgley,3123052
Matthew Stafford,Matthew Stafford,12483
Ryan Tannehill,Ryan Tannehill,14876
