"id","player","team","position","age","exp","pos","avg_type","points","pos_rank","drop_off","sd_pts","floor","ceiling","tier","points_vor","rank","floor_vor","floor_rank","ceiling_vor","ceiling_rank"
"0501","Buffalo Bills","BUF","DST",NA,50,"DST","weighted",106.422786306869,11,2.60873851655468,8.14708793123438,94,111.348202034884,7,-11.3814141678912,152,-1,110,-21.374523255814,193
"0502","Indianapolis Colts","IND","DST",NA,50,"DST","weighted",107.503264607987,9,0.695965464092637,16.7904680530932,78,113.87747706422,7,-10.3009358667738,148,-17,160,-18.8452482264775,183
"0503","Miami Dolphins","MIA","DST",NA,50,"DST","weighted",81.3109290359388,32,NA,13.0349384267242,65,90.4619565217391,17,-36.4932714388216,242,-30,207,-42.2607687689585,264
"0504","New England Patriots","NEP","DST",NA,50,"DST","weighted",115.787787605486,4,2.08429824278669,21.1556211818384,94,133.575414244186,3,-2.0164128692746,110,-1,110,0.852688953488354,100
"0505","New York Jets","NYJ","DST",NA,50,"DST","weighted",99.6862136865728,16,2.13208836825251,6.12202240278199,85,98.221175872093,11,-18.1179867881875,174,-10,131,-34.5015494186047,238
"0506","Cincinnati Bengals","CIN","DST",NA,50,"DST","weighted",87.9296467882414,26,0.205554254607804,18.5723568596831,60,99.9654389534884,15,-29.874553686519,214,-35,221,-32.7572863372093,233
"0507","Cleveland Browns","CLE","DST",NA,50,"DST","weighted",97.1021190053732,18,0.71765039985776,16.2077678887295,80,110.686702034884,11,-20.7020814693871,185,-15,152,-22.0360232558139,196
"0508","Tennessee Titans","TEN","DST",NA,50,"DST","weighted",104.093262817044,12,1.96423058918096,14.5219873352644,79,110.632431192661,8,-13.7109376577168,161,-16,157,-22.0902940980371,197
"0509","Jacksonville Jaguars","JAC","DST",NA,50,"DST","weighted",95.3192178355061,21,0.559870903387306,12.2218113308094,74,100.173090116279,12,-22.4849826392542,193,-21,174,-32.5496351744186,232
"0510","Pittsburgh Steelers","PIT","DST",NA,50,"DST","weighted",126.967713678288,1,8.15530676889006,25.63726687898,95,144.11925872093,1,9.16351320352736,87,0,106,11.3965334302326,84
"0511","Denver Broncos","DEN","DST",NA,50,"DST","weighted",100.470537252833,15,1.62436459391317,7.628982156441,90,105.24817877907,10,-17.333663221927,171,-5,119,-27.4745465116279,213
"0512","Kansas City Chiefs","KCC","DST",NA,50,"DST","weighted",107.191811980919,10,1.93378741896221,14.154735185691,84,115.50011627907,6,-10.6123884938418,149,-11,137,-17.2226090116279,179
"0513","Las Vegas Raiders","LVR","DST",NA,50,"DST","weighted",82.3357789751232,31,NA,19.2618153643523,63.8,95.2933720930233,17,-35.4684214996371,237,-31.2,209,-37.4293531976744,249
"0514","Los Angeles Chargers","LAC","DST",NA,50,"DST","weighted",86.8968200076271,30,5.0734660020961,11.3846293199708,67.3,92.3654565217391,15,-30.9073804671333,220,-27.7,201,-40.3572687689585,258
"0515","Seattle Seahawks","SEA","DST",NA,50,"DST","weighted",103.534832763585,13,2.93794829109891,16.9650945908163,81,116.975251453488,9,-14.2693677111749,162,-14,147,-15.7474738372093,173
"0516","Dallas Cowboys","DAL","DST",NA,50,"DST","weighted",93.5727882022228,24,3.7394396215925,21.1641575570145,67.2,110.592412790698,12,-24.2314122725375,201,-27.8,203,-22.1303125,199
"0517","New York Giants","NYG","DST",NA,50,"DST","weighted",87.6400925466066,28,0.529613867051538,18.0172009397114,64,100.603927325581,15,-30.1641079281537,216,-31,208,-32.1187979651163,230
"0518","Philadelphia Eagles","PHI","DST",NA,50,"DST","weighted",100.72323169214,14,0.644856222436687,13.4090545425928,82,110.628995639535,8,-17.0809687826206,170,-13,145,-22.0937296511628,198
"0519","Arizona Cardinals","ARI","DST",NA,50,"DST","weighted",87.8080925206605,27,0.325977571615653,18.1411832951558,65,101.040411337209,13,-29.9961079540999,215,-30,207,-31.6823139534884,228
"0520","Washington FootballTeam","WAS","DST",NA,50,"DST","weighted",96.6533384028334,19,0.93593008098162,22.9406720640192,71,118.377255813953,11,-21.1508620719269,187,-24,189,-14.3454694767442,160
"0521","Chicago Bears","CHI","DST",NA,50,"DST","weighted",98.0061316312675,17,1.12840292716412,7.77071789446126,86.4,101.755905523256,11,-19.7980688434929,179,-8.59999999999999,129,-30.9668197674419,225
"0522","Detroit Lions","DET","DST",NA,50,"DST","weighted",87.3241373514831,29,2.7078378601079,12.512213706208,72,94.8885087209302,16,-30.4800631232773,218,-23,183,-37.8342165697674,251
"0523","Green Bay Packers","GBP","DST",NA,50,"DST","weighted",94.8018385071233,22,0.657016727454746,20.6844291084947,70,113.044449127907,11,-23.002361967637,198,-25,192,-19.6782761627907,188
"0524","Minnesota Vikings","MIN","DST",NA,50,"DST","weighted",112.198156225241,7,4.30739050890355,17.8451506700066,89,126.17324127907,5,-5.60604424951907,125,-6,123,-6.5494840116279,133
