,0,1,2,3
0,1,1,3051392,Ezekiel Elliott
1,1,2,3117251,Christian McCaffrey
2,1,3,3929630,Saquon Barkley
3,1,4,3054850,Alvin Kamara
4,1,5,4242214,Clyde Edwards-Helaire
5,1,6,3116593,Dalvin Cook
6,1,7,2976316,Michael Thomas
7,1,8,13982,Julio Jones
8,1,9,16800,Davante Adams
9,1,10,4045163,Miles Sanders
10,1,11,3043078,Derrick Henry
11,1,12,2979843,Kenyan Drake
12,1,13,15795,DeAndre Hopkins
13,1,14,3042519,Aaron Jones
14,1,15,3116406,Tyreek Hill
15,1,16,3128720,Nick Chubb
16,1,17,15847,Travis Kelce
17,1,18,3068267,Austin Ekeler
18,1,19,16737,Mike Evans
19,1,20,3116385,Joe Mixon
20,2,1,3116165,Chris Godwin
21,2,2,4047365,Josh Jacobs
22,2,3,3915416,DJ Moore
23,2,4,2974858,Kenny Golladay
24,2,5,16799,Allen Robinson II
25,2,6,16460,Adam Thielen
26,2,7,2976499,Amari Cooper
27,2,8,3040151,George Kittle
28,2,9,3120348,JuJu Smith-Schuster
29,2,10,3128429,Courtland Sutton
30,2,11,3139477,Patrick Mahomes
31,2,12,3916387,Lamar Jackson
32,2,13,3919596,Chris Carson
33,2,14,3115364,Leonard Fournette
34,2,15,2977644,Todd Gurley II
35,2,16,15825,Le'Veon Bell
36,2,17,16733,Odell Beckham Jr.
37,2,18,4047646,A.J. Brown
38,2,19,2508176,David Johnson
39,2,20,2576434,Melvin Gordon
40,3,1,15880,Robert Woods
41,3,2,3925357,Calvin Ridley
42,3,3,15835,Zach Ertz
43,3,4,15818,Keenan Allen
44,3,5,4047650,DK Metcalf
45,3,6,2577327,Tyler Lockett
46,3,7,14924,T.Y. Hilton
47,3,8,3121422,Terry McLaurin
48,3,9,2977187,Cooper Kupp
49,3,10,16790,Jarvis Landry
50,3,11,4040761,Devin Singletary
51,3,12,3115394,DJ Chark Jr.
52,3,13,3045147,James Conner
53,3,14,4259545,D'Andre Swift
54,3,15,3045144,Tyler Boyd
55,3,16,4242335,Jonathan Taylor
56,3,17,2976212,Stefon Diggs
57,3,18,3126486,Deebo Samuel
58,3,19,2576623,DeVante Parker
59,3,20,13983,A.J. Green
60,4,1,3116365,Mark Andrews
61,4,2,3059915,Kareem Hunt
62,4,3,4240021,Cam Akers
63,4,4,2576925,Darren Waller
64,4,5,4035538,David Montgomery
65,4,6,2576414,Raheem Mostert
66,4,7,13981,Mark Ingram II
67,4,8,3912550,Ronald Jones II
68,4,9,3066158,Tarik Cohen
69,4,10,4241372,Marquise Brown
70,4,11,3052876,Will Fuller V
71,4,12,3916925,Kerryon Johnson
72,4,13,15072,Marvin Jones Jr.
73,4,14,4036348,Michael Gallup
74,4,15,4039359,Darrell Henderson Jr.
75,4,16,3122840,Deshaun Watson
76,4,17,16913,James White
77,4,18,2577417,Dak Prescott
78,4,19,3917315,Kyler Murray
79,4,20,3060022,Jordan Howard
80,5,1,2573401,Tyler Higbee
81,5,2,3052117,Phillip Lindsay
82,5,3,4241985,J.K. Dobbins
83,5,4,14881,Russell Wilson
84,5,5,4035676,Zack Moss
85,5,6,3051876,Evan Engram
86,5,7,13229,Rob Gronkowski
87,5,8,2979477,Tevin Coleman
88,5,9,2576716,Jamison Crowder
89,5,10,3046439,Hunter Henry
90,5,11,15920,Latavius Murray
91,5,12,12649,Julian Edelman
92,5,13,3932905,Diontae Johnson
93,5,14,13217,Golden Tate
94,5,15,12537,Jared Cook
95,5,16,16731,Brandin Cooks
96,5,17,3049916,Matt Breida
97,5,18,2976592,Sterling Shepard
98,5,19,3895856,Christian Kirk
99,5,20,4241475,Henry Ruggs III
100,6,1,2330,Tom Brady
101,6,2,11237,Matt Ryan
102,6,3,4036133,T.J. Hockenson
103,6,4,2573079,Carson Wentz
104,6,5,4036131,Noah Fant
105,6,6,2580,Drew Brees
106,6,7,3123050,Chris Herndon
107,6,8,3915399,Preston Williams
108,6,9,3918298,Josh Allen
109,6,10,12483,Matthew Stafford
110,6,11,2574808,Robby Anderson
111,6,12,3916148,Tony Pollard
112,6,13,3924365,Hayden Hurst
113,6,14,4360294,Antonio Gibson
114,6,15,13295,Emmanuel Sanders
115,6,16,16804,John Brown
116,6,17,4241463,Jerry Jeudy
117,6,18,3121427,Curtis Samuel
118,6,19,3916945,Darius Slayton
119,6,20,4047839,N'Keal Harry
120,7,1,8439,Aaron Rodgers
121,7,2,3116164,Mike Gesicki
122,7,3,4035004,Mecole Hardman
123,7,4,16732,Eric Ebron
124,7,5,16504,Jack Doyle
125,7,6,3917792,Daniel Jones
126,7,7,5536,Ben Roethlisberger
127,7,8,pit,Steelers D/ST
128,7,9,3043275,Austin Hooper
129,7,10,3916430,Nyheim Hines
130,7,11,3045138,Mike Williams
131,7,12,4262921,Justin Jefferson
132,7,13,3046779,Jared Goff
133,7,14,13994,Cam Newton
134,7,15,2969962,Duke Johnson
135,7,16,3052587,Baker Mayfield
136,7,17,4048244,Alexander Mattison
137,7,18,14876,Ryan Tannehill
138,7,19,buf,Bills D/ST
139,7,20,3139605,Marlon Mack
140,8,1,sf,49ers D/ST
141,8,2,2972460,Breshad Perriman
142,8,3,bal,Ravens D/ST
143,8,4,ne,Patriots D/ST
144,8,5,4241802,Jalen Reagor
145,8,6,den,Broncos D/ST
146,8,7,chi,Bears D/ST
147,8,8,ind,Colts D/ST
148,8,9,3121023,Dallas Goedert
149,8,10,11283,DeSean Jackson
150,8,11,min,Vikings D/ST
151,8,12,no,Saints D/ST
152,8,13,16760,Jimmy Garoppolo
153,8,14,tb,Buccaneers D/ST
154,8,15,4241389,CeeDee Lamb
155,8,16,3121410,Parris Campbell
156,8,17,15683,Justin Tucker
157,8,18,10452,Adrian Peterson
158,8,19,3050487,Anthony Miller
159,8,20,3055899,Harrison Butker
160,9,1,3128721,Sony Michel
161,9,2,3917612,Ke'Shawn Vaughn
162,9,3,14993,Greg Zuerlein
163,9,4,lac,Chargers D/ST
164,9,5,11122,Matt Prater
165,9,6,2985659,Wil Lutz
166,9,7,9354,Robbie Gould
167,9,8,17372,Chris Boswell
168,9,9,4249087,Matt Gay
169,9,10,2971573,Ka'imi Fairbairn
170,9,11,3043234,Zane Gonzalez
171,9,12,3116136,Justin Jackson
172,9,13,3050478,Jake Elliott
173,9,14,3821683,Austin Seibert
174,9,15,16725,Sammy Watkins
175,9,16,,Brandon Aiyuk
176,9,17,5528,Larry Fitzgerald
177,9,18,4035687,Michael Pittman Jr.
178,9,19,4035403,Denzel Mims
179,9,20,14912,Alshon Jeffery
180,10,1,16782,Jerick McKinnon
181,10,2,3051439,Boston Scott
182,10,3,4239993,Tee Higgins
183,10,4,4036431,Darrynton Evans
184,10,5,3910544,Joshua Kelley
185,10,6,3925347,Damien Harris
186,10,7,2577654,DeAndre Washington
187,10,8,4239934,AJ Dillon
188,10,9,3115378,Russell Gage
189,10,10,3054212,Jonnu Smith
190,10,11,3128390,Allen Lazard
191,10,12,3122449,James Washington
192,10,13,4046692,Chase Claypool
193,10,14,3923397,Ryquell Armstead
194,10,15,dal,Cowboys D/ST
195,10,16,sea,Seahawks D/ST
196,10,17,3119195,Chase Edmonds
197,10,18,3042778,Corey Davis
198,10,19,10636,Mason Crosby
199,10,20,cin,Bengals D/ST
200,11,1,14053,Randall Cobb
201,11,2,15349,Cole Beasley
202,11,3,16777,Carlos Hyde
203,11,4,4241941,Anthony McFarland Jr.
204,11,5,12514,LeSean McCoy
205,11,6,3139925,Rashaad Penny
206,11,7,4035072,Benny Snell Jr.
207,11,8,15826,Giovani Bernard
208,11,9,14880,Kirk Cousins
209,11,10,3123969,Ito Smith
210,11,11,kc,Chiefs D/ST
211,11,12,3150744,Chase McLaughlin
212,11,13,4034952,La'Mical Perine
213,11,14,4040980,Irv Smith Jr.
214,11,15,14322,Dan Bailey
215,11,16,2980453,Jamaal Williams
216,11,17,2473037,Jason Myers
217,11,18,2991767,Blake Jarwin
218,11,19,3917962,Jace Sternberger
219,11,20,2570986,Malcolm Brown
220,12,1,3116721,Jaylen Samuels
221,12,2,3917960,Steven Sims Jr.
222,12,3,11674,Danny Amendola
223,12,4,14922,Mohamed Sanu Sr.
224,12,5,4243160,Laviska Shenault Jr.
225,12,6,3892889,Dede Westbrook
226,12,7,3115306,Josh Reynolds
227,12,8,3915511,Joe Burrow
228,12,9,4039050,Devin Duvernay
229,12,10,13934,Antonio Brown
230,12,11,3924327,Drew Lock
231,12,12,3135321,Hunter Renfrow
232,12,13,3040569,Trent Taylor
233,12,14,4240380,KJ Hamler
234,12,15,2577641,Jakeem Grant
235,12,16,2587819,Tyrell Williams
236,12,17,2578533,Chris Conley
237,12,18,2576491,Adam Humphries
238,12,19,4038818,Bryan Edwards
239,12,20,2972091,Jalen Richard
240,13,1,,Bryce Love
241,13,2,3115375,Darrel Williams
242,13,3,4259979,Lynn Bowden Jr.
243,13,4,15966,Chris Thompson
244,13,5,3051926,Gus Edwards
245,13,6,16944,Devonta Freeman
246,13,7,2983509,Dare Ogunbowale
247,13,8,4038524,Gardner Minshew II
248,13,9,16757,Derek Carr
249,13,10,5529,Philip Rivers
250,13,11,13232,Jimmy Graham
251,13,12,det,Lions D/ST
252,13,13,15788,Tyler Eifert
253,13,14,4045305,Ian Thomas
254,13,15,3116642,Reggie Bonnafon
255,13,16,3124084,Joey Slye
256,13,17,14054,Kyle Rudolph
257,13,18,16339,Brandon McManus
258,13,19,4029893,Antonio Gandy-Golden
259,13,20,3052177,John Ross III
260,14,1,3930086,Dawson Knox
261,14,2,10453,Ted Ginn Jr.
262,14,3,10475,Greg Olsen
263,14,4,3914397,Scotty Miller
264,14,5,nyj,Jets D/ST
265,14,6,3125403,Brian Hill
266,14,7,2572861,J.D. McKissic
267,14,8,4241479,Tua Tagovailoa
268,14,9,3115365,Trey Quinn
269,14,10,2579604,Phillip Dorsett II
270,14,11,3912547,Sam Darnold
271,14,12,4040616,Dwayne Haskins Jr.
272,14,13,4038941,Justin Herbert
273,14,14,16728,Teddy Bridgewater
274,14,15,16016,Kenny Stills
275,14,16,3045523,Kendrick Bourne
276,14,17,2310331,Tyler Johnson
277,14,18,phi,Eagles D/ST
278,14,19,lar,Rams D/ST
279,14,20,14198,Dion Lewis
280,15,1,3043116,Demarcus Robinson
281,15,2,3930066,Van Jefferson
282,15,3,15971,Rex Burkhead
283,15,4,3051902,Peyton Barber
284,15,5,3127211,Patrick Laird
285,15,6,8479,Frank Gore
286,15,7,4035222,Trayveon Williams
287,15,8,3122672,Royce Freeman
288,15,9,3139033,Mike Boone
289,15,10,3914328,Andy Isabella
290,15,11,3918639,Gerald Everett
291,15,12,3921690,Josh Oliver
292,15,13,4212989,Dan Arnold
293,15,14,3916433,Jakobi Meyers
294,15,15,3127292,Will Dissly
295,15,16,2574576,C.J. Uzomah
296,15,17,3115328,Jalen Hurd
297,15,18,14877,Nick Foles
298,15,19,2998120,Josh Lambo
299,15,20,3913295,Justin Rohrwasser
300,16,1,cle,Browns D/ST
301,16,2,ten,Titans D/ST
302,16,3,3892775,Jarrett Stidham
303,16,4,8664,Ryan Fitzpatrick
304,16,5,4240631,DeeJay Dallas
305,16,6,3051891,Jordan Wilkins
306,16,7,4242873,Eno Benjamin
307,16,8,3025433,Mike Davis
308,16,9,4040790,Jason Huntley
309,16,10,3045260,Corey Clement
310,16,11,3043080,O.J. Howard
311,16,12,2577134,Ty Montgomery
312,16,13,14163,Tyrod Taylor
313,16,14,3123076,David Njoku
314,16,15,2468609,Taysom Hill
315,16,16,2969939,Jameis Winston
316,16,17,3039707,Mitchell Trubisky
317,16,18,2576980,Marcus Mariota
318,16,19,16813,Logan Thomas
319,16,20,4040715,Jalen Hurts
