,id,player,team,position,age,exp,pos,avg_type,points,pos_rank,drop_off,sd_pts,floor,ceiling,tier,points_vor,rank,floor_vor,floor_rank,ceiling_vor,ceiling_rank,espn_names,espn_id,picked,blacklist,Name,Pos,Team,Bye,%,pick,espnid,probpicked,pbest,emaxw,emax,opp,oc
128,13130,Christian McCaffrey,CAR,RB,24.0,3,RB,weighted,301.018094875213,1.0,30.1261216017955,32.0461836620752,270.85,347.92091286947897,1.0,184.68761085913602,1.0,170.874333333333,1.0,208.283524453884,1.0,Christian McCaffrey,3117251,False,False,Christian McCaffrey,RB,CAR,13.0,0.0,23.0,3117251,1.0,1.0,0.0,0.0,186.81474004962547,114.20335482558755
159,13604,Saquon Barkley,NYG,RB,23.0,2,RB,weighted,274.640348462198,2.0,13.1940466444784,46.513081278392,243.5,345.943601109999,1.0,158.309864446121,2.0,143.524333333333,3.0,206.306212694404,2.0,Saquon Barkley,3929630,False,False,Saquon Barkley,RB,NYG,11.0,0.0,23.0,3929630,1.0,1.0,0.0,0.0,186.81474004962547,87.82560841257254
110,12625,Ezekiel Elliott,DAL,RB,25.0,4,RB,weighted,267.143598084636,3.0,14.9146123077611,39.4398286563296,244.9,330.059824962179,1.0,150.81311406856,3.0,144.924333333333,2.0,190.422436546584,3.0,Ezekiel Elliott,3051392,False,False,Ezekiel Elliott,RB,DAL,10.0,0.0,23.0,3051392,1.0,1.0,0.0,0.0,186.81474004962547,80.32885803501051
111,12626,Derrick Henry,TEN,RB,26.0,4,RB,weighted,255.749005550803,4.0,15.9581548544886,17.9998356802829,240.6,283.062724056945,2.0,139.418521534726,4.0,140.624333333333,4.0,143.42533564135098,6.0,Derrick Henry,3043078,False,False,Derrick Henry,RB,TEN,7.0,0.0,23.0,3043078,1.0,1.0,0.0,0.0,186.81474004962547,68.93426550117752
126,13128,Dalvin Cook,MIN,RB,25.0,3,RB,weighted,248.708966002948,5.0,19.9025885845698,22.824336068466703,230.4,285.078585899246,2.0,132.378481986871,5.0,130.424333333333,5.0,145.441197483651,5.0,Dalvin Cook,3116593,False,False,Dalvin Cook,RB,MIN,7.0,0.0,23.0,3116593,1.0,1.0,0.0,0.0,186.81474004962547,61.89422595332252
130,13132,Alvin Kamara,NOS,RB,25.0,3,RB,weighted,230.87273538968103,6.0,5.222249597742519,32.9655365648016,210.3,280.853468099277,3.0,114.54225137360399,6.0,110.324333333333,7.0,141.216079683682,7.0,Alvin Kamara,3054850,False,False,Alvin Kamara,RB,NO,6.0,0.0,23.0,3054850,1.0,1.0,0.0,0.0,186.81474004962547,44.057995340055555
149,13319,Aaron Jones,GBP,RB,26.0,3,RB,weighted,226.740019447075,7.0,3.48985538557858,38.669367925093,188.7,280.32096368983997,3.0,110.409535430998,7.0,88.7243333333333,13.0,140.683575274245,8.0,Aaron Jones,3042519,False,False,Aaron Jones,RB,GB,5.0,0.008,23.0,3042519,0.992,0.999,0.007992,1.8121062354210238,186.81474004962547,39.60587716226995
191,14073,Josh Jacobs,LVR,RB,22.0,1,RB,weighted,224.560952136801,8.0,3.4089463937062003,42.4711234619105,194.9,289.786906222908,3.0,108.230468120725,8.0,94.92433333333331,10.0,150.149517807313,4.0,Josh Jacobs,4047365,False,False,Josh Jacobs,RB,LV,6.0,0.0,23.0,4047365,1.0,1.0,0.0,0.0,186.81474004962547,37.746212087175536
222,14803,Clyde Edwards-Helaire,KCC,RB,21.0,0,RB,weighted,221.93937598619098,9.0,2.6247219433909903,29.1062854946025,209.0,265.930604620946,3.0,105.608891970115,9.0,109.02433333333299,8.0,126.29321620535102,11.0,Clyde Edwards-Helaire,4242214,False,False,Clyde Edwards-Helaire,RB,KC,10.0,0.0,23.0,4242214,1.0,1.0,0.0,0.0,186.81474004962547,35.12463593656551
158,13593,Lamar Jackson,BAL,QB,23.0,2,QB,weighted,365.600993194367,1.0,29.797128683278103,10.085739547788199,361.0,382.25599991351896,1.0,102.070879051629,11.0,117.226666666667,6.0,85.6924726325914,19.0,Lamar Jackson,3916387,False,False,Lamar Jackson,QB,BAL,8.0,0.193,23.0,3916387,0.8069999999999999,0.998,0.192614,70.41986970313981,323.9316311342715,33.62717518249704
